"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AKR1C1",-1.73153889440499,2.65876336356421,-5.69887207681789,2.05720477771386e-08,1.89834640256524e-06,8.12709019075555
"PKP1",-1.18534262984379,1.6199365010598,-5.68510625690023,2.21909599429798e-08,2.01642534637838e-06,8.05352680202001
"CYP24A1",-1.47663130466227,3.04711718688188,-5.67012538642927,2.40937189741195e-08,2.16942035981061e-06,7.97364797997961
"CACNA2D2",-1.08420642229599,2.32218440060485,-5.59942584641442,3.54374746734204e-08,3.00848972488194e-06,7.5991791629876
"AOC1",-1.31023258732407,2.29479062138398,-5.48181947046916,6.67315398592226e-08,5.26647439470654e-06,6.98546169159129
"ORM2",-1.08060199016649,1.89173486687244,-5.37000071159969,1.20552285430549e-07,8.69424838140927e-06,6.41267237904726
"CLDN10",-1.10153769458777,1.85743428518741,-5.21542296603715,2.6851346091572e-07,1.71580101525145e-05,5.63820932206785
"SFTPB",-1.79802914207356,9.56497113413038,-5.13356055346668,4.07111551551001e-07,2.43839714057755e-05,5.23628189508276
"CT83",-1.26471904947088,1.8944479379356,-5.08937200326639,5.08492978097379e-07,2.93665813502361e-05,5.02170393070728
"WIF1",-1.24363181903041,2.08511372449623,-5.08718349295969,5.14102444275178e-07,2.96617145203311e-05,5.01112006129078
"AQP3",-1.16908629653626,6.72081142878622,-5.04127925009758,6.46538613311617e-07,3.56316342973195e-05,4.79006919716
"DEFB1",-1.27799669294762,2.51899381710304,-4.9907513310829,8.30408089711245e-07,4.44582536461893e-05,4.54884723959742
"ORM1",-1.09803636083744,2.36115402302556,-4.93629885923227,1.08493340373225e-06,5.55334516654575e-05,4.29135347996682
"MUC5AC",-1.18104169905755,1.14178327983069,-4.86402791866601,1.54119576128616e-06,7.4220940442425e-05,3.95356163002078
"AKR1C3",-1.23154690613335,3.87257137074359,-4.6279717812822,4.70559945734715e-06,0.000183010248005085,2.88194522371415
"GSTA1",-1.19664499704652,2.6869930989305,-4.62670452934953,4.73328384630843e-06,0.00018348653563899,2.87632408042166
"TSPAN8",-1.22721795768397,3.62263454895142,-4.61550301935685,4.9848916268512e-06,0.000190628799683968,2.82669906708261
"IGFBP2",-1.05787729879352,4.45872480396002,-4.61359162249067,5.02908891994721e-06,0.000192085177457748,2.81824221633941
"TFF3",-1.50857727160149,4.38263181227058,-4.59226530261843,5.54845132318248e-06,0.000207115462803245,2.72410360962009
"MUC13",-1.23770423081387,2.07235716924071,-4.47604566308471,9.41549869840552e-06,0.000323243697949246,2.21814654887799
"GPX2",-1.58798438153473,3.42098782990895,-4.27408481674778,2.29680393559595e-05,0.000671713422641046,1.36746843166846
"SPINK1",-1.5581192683793,4.26865072449137,-4.19465922079203,3.23069156980828e-05,0.00087308007239198,1.04291820872805
"RPS4Y1",-1.45968978105113,2.79627795430383,-3.81554023196009,0.000152811731270411,0.00300700091198897,-0.427621185163442
"IGHD",-1.04097837908673,4.14262251381794,-3.39121043381038,0.00075066258528367,0.0106568622684311,-1.91721054405297
"SCGB3A2",-1.12375774155903,5.76507951544113,-2.8931098882874,0.00398001918188018,0.0381546378321654,-3.4511898089841
